"RegionName","HousingType","Time","Value"
"Los Angeles","All Homes",2012-10-01,1.79968701095462
"San Francisco","All Homes",2012-10-01,3.09734513274336
"Seattle","All Homes",2012-10-01,1.63463393638968
"New York","Condominium",2012-10-01,NA
"Los Angeles","Condominium",2012-10-01,1.85136612021858
"San Francisco","Condominium",2012-10-01,3.44444444444444
"Seattle","Condominium",2012-10-01,1.85185185185185
"Los Angeles","Single Family Residence",2012-10-01,1.75140004307825
"San Francisco","Single Family Residence",2012-10-01,NA
"Seattle","Single Family Residence",2012-10-01,NA
"Los Angeles","1 Bedroom",2012-11-01,2.09677419354839
"San Francisco","1 Bedroom",2012-11-01,3.69088659464637
"Seattle","1 Bedroom",2012-11-01,2.13315750254922
"Los Angeles","2 Bedroom",2012-11-01,1.83059897577669
"San Francisco","2 Bedroom",2012-11-01,3.24313057669452
"Los Angeles","3 Bedroom",2012-11-01,1.64501203510729
"San Francisco","3 Bedroom",2012-11-01,NA
"Seattle","3 Bedroom",2012-11-01,1.34487022811918
"Los Angeles","4 Bedroom",2012-11-01,1.40396522903911
"Seattle","4 Bedroom",2012-11-01,1.12068965517241
"New York","All Homes",2012-11-01,NA
"Los Angeles","All Homes",2012-11-01,1.76767676767677
"San Francisco","All Homes",2012-11-01,3.32749562171629
"Seattle","All Homes",2012-11-01,1.76034121395037
"New York","Condominium",2012-11-01,NA
"Los Angeles","Condominium",2012-11-01,1.80188823338488
"San Francisco","Condominium",2012-11-01,3.49794238683128
"Seattle","Condominium",2012-11-01,1.92611229528101
"Los Angeles","Single Family Residence",2012-11-01,1.74306003873467
"San Francisco","Single Family Residence",2012-11-01,NA
"Seattle","Single Family Residence",2012-11-01,NA
"Los Angeles","1 Bedroom",2012-12-01,2.07638888888889
"San Francisco","1 Bedroom",2012-12-01,3.72890025575448
"Seattle","1 Bedroom",2012-12-01,2.12042682926829
"Los Angeles","2 Bedroom",2012-12-01,1.82621987633564
"San Francisco","2 Bedroom",2012-12-01,3.39646017699115
"Los Angeles","3 Bedroom",2012-12-01,1.66548630783758
"San Francisco","3 Bedroom",2012-12-01,NA
"Seattle","3 Bedroom",2012-12-01,1.37548387096774
"Los Angeles","4 Bedroom",2012-12-01,1.40193435068839
"Seattle","4 Bedroom",2012-12-01,1.1830985915493
"New York","All Homes",2012-12-01,NA
"Los Angeles","All Homes",2012-12-01,1.7513550457061
"San Francisco","All Homes",2012-12-01,3.50421804023361
"Seattle","All Homes",2012-12-01,1.79255319148936
"New York","Condominium",2012-12-01,NA
"Los Angeles","Condominium",2012-12-01,1.78571428571429
"San Francisco","Condominium",2012-12-01,3.63104524180967
"Seattle","Condominium",2012-12-01,1.86330935251799
"Los Angeles","Single Family Residence",2012-12-01,1.73410404624277
"San Francisco","Single Family Residence",2012-12-01,NA
"Seattle","Single Family Residence",2012-12-01,NA
"Los Angeles","1 Bedroom",2013-01-01,2.1260541323316
"San Francisco","1 Bedroom",2013-01-01,3.85847298284045
"Seattle","1 Bedroom",2013-01-01,2.12483399734396
"Los Angeles","2 Bedroom",2013-01-01,1.8597520661157
"San Francisco","2 Bedroom",2013-01-01,3.40574533406497
"Los Angeles","3 Bedroom",2013-01-01,1.69102595594858
"San Francisco","3 Bedroom",2013-01-01,NA
"Seattle","3 Bedroom",2013-01-01,1.35917238749047
"Los Angeles","4 Bedroom",2013-01-01,1.45290353100789
"Seattle","4 Bedroom",2013-01-01,1.21212121212121
"New York","All Homes",2013-01-01,NA
"Los Angeles","All Homes",2013-01-01,1.795
"San Francisco","All Homes",2013-01-01,3.58680766889836
"Seattle","All Homes",2013-01-01,1.79848320693391
"New York","Condominium",2013-01-01,NA
"Los Angeles","Condominium",2013-01-01,1.85048076923077
"San Francisco","Condominium",2013-01-01,3.7037037037037
"Seattle","Condominium",2013-01-01,1.88949938949939
"Los Angeles","Single Family Residence",2013-01-01,1.75438596491228
"San Francisco","Single Family Residence",2013-01-01,NA
"Seattle","Single Family Residence",2013-01-01,NA
"Los Angeles","1 Bedroom",2013-02-01,2.15
"San Francisco","1 Bedroom",2013-02-01,3.86451612903226
"Seattle","1 Bedroom",2013-02-01,2.19979079497908
"Los Angeles","2 Bedroom",2013-02-01,1.85707653534952
"San Francisco","2 Bedroom",2013-02-01,3.41858407079646
"Los Angeles","3 Bedroom",2013-02-01,1.68399168399168
"San Francisco","3 Bedroom",2013-02-01,NA
"Seattle","3 Bedroom",2013-02-01,1.35565476190476
"Los Angeles","4 Bedroom",2013-02-01,1.46061184762252
"Seattle","4 Bedroom",2013-02-01,1.125
"New York","All Homes",2013-02-01,NA
"Los Angeles","All Homes",2013-02-01,1.79140127388535
"San Francisco","All Homes",2013-02-01,3.53333333333333
"Seattle","All Homes",2013-02-01,1.83760683760684
"New York","Condominium",2013-02-01,NA
"Los Angeles","Condominium",2013-02-01,1.85871381474958
"San Francisco","Condominium",2013-02-01,3.60735735735736
"Seattle","Condominium",2013-02-01,1.81557945870923
"Los Angeles","Single Family Residence",2013-02-01,1.74927113702624
"San Francisco","Single Family Residence",2013-02-01,NA
"Seattle","Single Family Residence",2013-02-01,NA
"Los Angeles","1 Bedroom",2013-03-01,2.1900826446281
"San Francisco","1 Bedroom",2013-03-01,3.90688259109312
"Seattle","1 Bedroom",2013-03-01,2.23725213395479
"Los Angeles","2 Bedroom",2013-03-01,1.94250194250194
"San Francisco","2 Bedroom",2013-03-01,3.51985017294275
"Los Angeles","3 Bedroom",2013-03-01,1.66666666666667
"San Francisco","3 Bedroom",2013-03-01,NA
"Seattle","3 Bedroom",2013-03-01,1.35631208004674
"Los Angeles","4 Bedroom",2013-03-01,1.45141573390261
"Seattle","4 Bedroom",2013-03-01,1.1773017756008
"New York","All Homes",2013-03-01,NA
"Los Angeles","All Homes",2013-03-01,1.77272727272727
"San Francisco","All Homes",2013-03-01,3.67156862745098
"Seattle","All Homes",2013-03-01,1.91724137931034
"New York","Condominium",2013-03-01,NA
"Los Angeles","Condominium",2013-03-01,1.81818181818182
"San Francisco","Condominium",2013-03-01,3.79405172413793
"Seattle","Condominium",2013-03-01,1.86699613235926
"Los Angeles","Single Family Residence",2013-03-01,1.75697262757966
"San Francisco","Single Family Residence",2013-03-01,NA
"Seattle","Single Family Residence",2013-03-01,NA
"Los Angeles","1 Bedroom",2013-04-01,2.15711009174312
"San Francisco","1 Bedroom",2013-04-01,3.94187976345853
"Seattle","1 Bedroom",2013-04-01,2.21311833862176
"Los Angeles","2 Bedroom",2013-04-01,1.92895962732919
"San Francisco","2 Bedroom",2013-04-01,3.63104524180967
"Los Angeles","3 Bedroom",2013-04-01,1.68882536382536
"San Francisco","3 Bedroom",2013-04-01,NA
"Seattle","3 Bedroom",2013-04-01,1.38577529994784
"Los Angeles","4 Bedroom",2013-04-01,1.45833333333333
"Seattle","4 Bedroom",2013-04-01,1.18705035971223
"New York","All Homes",2013-04-01,NA
"Los Angeles","All Homes",2013-04-01,1.79189068100358
"San Francisco","All Homes",2013-04-01,3.6867567969299
"Seattle","All Homes",2013-04-01,1.84924242424242
"New York","Condominium",2013-04-01,NA
"Los Angeles","Condominium",2013-04-01,1.85889864537017
"San Francisco","Condominium",2013-04-01,3.83662825558624
"Seattle","Condominium",2013-04-01,1.9
"Los Angeles","Single Family Residence",2013-04-01,1.76173529910185
"San Francisco","Single Family Residence",2013-04-01,NA
"Seattle","Single Family Residence",2013-04-01,NA
"Los Angeles","1 Bedroom",2013-05-01,2.21428571428571
"San Francisco","1 Bedroom",2013-05-01,4.04942965779468
"Seattle","1 Bedroom",2013-05-01,2.2
"Los Angeles","2 Bedroom",2013-05-01,1.98183254137481
"San Francisco","2 Bedroom",2013-05-01,3.74483897605285
"Los Angeles","3 Bedroom",2013-05-01,1.72222222222222
